method,step,best_y,normalized_regret,filter_active,retained_fraction,compatibility_trust,problem,dim,seed
Matching-Fixed-Filter,5,-0.7381560355717248,0.38293213343248983,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,6,-0.7381560355717248,0.38293213343248983,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,7,-0.7983290892721999,0.294996607135807,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,8,-0.7983290892721999,0.294996607135807,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,9,-0.7983290892721999,0.294996607135807,0.0,1.0,1.0,GMM,2,101
Matching-Fixed-Filter,10,-0.7983290892721999,0.294996607135807,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,11,-0.7983290892721999,0.294996607135807,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,12,-0.7983290892721999,0.294996607135807,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,13,-0.7983290892721999,0.294996607135807,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,14,-0.7983290892721999,0.294996607135807,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,15,-0.7983290892721999,0.294996607135807,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,16,-0.9562394772127615,0.06422997294790309,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,17,-0.9562394772127615,0.06422997294790309,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,18,-0.9562394772127615,0.06422997294790309,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,19,-0.9562394772127615,0.06422997294790309,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,20,-0.989867530015028,0.015086704663405164,1.0,0.25,1.0,GMM,2,101
Matching-Adaptive-Filter,0,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Matching-Adaptive-Filter,1,-0.31590510428679913,1.0,1.0,0.83,0.2278571428571051,GMM,2,101
Matching-Adaptive-Filter,2,-0.31590510428679913,1.0,1.0,0.84,0.22204545454542568,GMM,2,101
Matching-Adaptive-Filter,3,-0.31590510428679913,1.0,1.0,0.85,0.2055555555555329,GMM,2,101
Matching-Adaptive-Filter,4,-0.31590510428679913,1.0,1.0,0.84,0.21499542124540094,GMM,2,101
Matching-Adaptive-Filter,5,-0.31590510428679913,1.0,1.0,0.84,0.21825396825395,GMM,2,101
Matching-Adaptive-Filter,6,-0.44511063976078324,0.8111819815742572,1.0,0.83,0.23876262626260839,GMM,2,101
Matching-Adaptive-Filter,7,-0.5209865316350245,0.7002986862307317,1.0,0.81,0.2639947552447372,GMM,2,101
Matching-Adaptive-Filter,8,-0.5209865316350245,0.7002986862307317,1.0,0.75,0.34492456073336286,GMM,2,101
Matching-Adaptive-Filter,9,-0.5759536254953195,0.6199710307378871,1.0,0.8,0.2764482431148935,GMM,2,101
Matching-Adaptive-Filter,10,-0.5792342437571923,0.6151768101408689,1.0,0.74,0.3584947946789856,GMM,2,101
Matching-Adaptive-Filter,11,-0.5989459314482719,0.5863705999734556,1.0,0.76,0.33297249809012786,GMM,2,101
Matching-Adaptive-Filter,12,-0.5989459314482719,0.5863705999734556,1.0,0.74,0.3536908475511244,GMM,2,101
