method,initial_best_y,final_best_y,known_optimum_y,total_improvement,final_normalized_regret,n_regions,filter_activation_rate,mean_retained_fraction,mean_compatibility_trust,problem,dim,seed
Wrong-Adaptive-Filter,8.09282858543249,0.15407405631343396,4.440892098500626e-16,7.938754529119057,0.01903834421882786,5,0.95,0.8300000000000001,0.23845292971067603,Ackley,2,42
Oracle-Fixed-Filter,8.09282858543249,0.15407405631343396,4.440892098500626e-16,7.938754529119057,0.01903834421882786,1,0.9,0.325,1.0,Ackley,2,42
Matching-Soft-Rerank,8.09282858543249,0.15407405631343396,4.440892098500626e-16,7.938754529119057,0.01903834421882786,6,0.0,1.0,,Ackley,2,42
Target-Only,5.67539244950752,0.9208726543583556,4.440892098500626e-16,4.7545197951491645,0.1622570883954049,0,0.0,1.0,0.0,Ackley,2,101
Matching-Fixed-Filter,5.67539244950752,0.22917792224317468,4.440892098500626e-16,5.446214527264345,0.04038098233419278,6,1.0,0.25,1.0,Ackley,2,101
Matching-Adaptive-Filter,5.67539244950752,0.3085637431965158,4.440892098500626e-16,5.366828706311004,0.05436870594266849,6,1.0,0.7049999999999998,0.3991253605273305,Ackley,2,101
Random-Adaptive-Filter,5.67539244950752,0.41642500133475524,4.440892098500626e-16,5.258967448172765,0.07337378076310651,6,0.95,0.8505,0.2094259454081051,Ackley,2,101
Wrong-Adaptive-Filter,5.67539244950752,0.5527246837163031,4.440892098500626e-16,5.122667765791217,0.09738968514226098,6,0.4,0.9675,0.07029226341296183,Ackley,2,101
Oracle-Fixed-Filter,5.67539244950752,0.7726718673420305,4.440892098500626e-16,4.90272058216549,0.1361442180811793,1,0.8,0.4,1.0,Ackley,2,101
Matching-Soft-Rerank,5.67539244950752,0.13511663290228926,4.440892098500626e-16,5.540275816605231,0.023807451925904,6,0.0,1.0,,Ackley,2,101
Target-Only,6.622011972623028,0.24468510406103805,4.440892098500626e-16,6.37732686856199,0.03695026603283474,0,0.0,1.0,0.0,Ackley,2,2026
Matching-Fixed-Filter,6.622011972623028,0.7228932103665611,4.440892098500626e-16,5.899118762256467,0.10916519229430165,6,0.9,0.325,1.0,Ackley,2,2026
Matching-Adaptive-Filter,6.622011972623028,0.630477950779309,4.440892098500626e-16,5.991534021843719,0.0952094247769189,6,1.0,0.697,0.41025514012378084,Ackley,2,2026
Random-Adaptive-Filter,6.622011972623028,0.29737344694007506,4.440892098500626e-16,6.324638525682953,0.04490681203378779,6,0.2,0.9875,0.04071229684939638,Ackley,2,2026
Wrong-Adaptive-Filter,6.622011972623028,0.5245539614094672,4.440892098500626e-16,6.097458011213561,0.07921368363242132,6,1.0,0.7635,0.32297650613089085,Ackley,2,2026
Oracle-Fixed-Filter,6.622011972623028,0.09795115551726541,4.440892098500626e-16,6.524060817105763,0.014791751498218115,1,0.75,0.4375,1.0,Ackley,2,2026
Matching-Soft-Rerank,6.622011972623028,0.263355117463107,4.440892098500626e-16,6.358656855159921,0.03976965287164675,6,0.0,1.0,,Ackley,2,2026
Target-Only,3.5652566501745437,0.2760904891217817,4.440892098500626e-16,3.289166161052762,0.07743916250973538,0,0.0,1.0,0.0,Ackley,2,777
Matching-Fixed-Filter,3.5652566501745437,0.4242248308044201,4.440892098500626e-16,3.1410318193701237,0.11898858130834732,6,1.0,0.25,1.0,Ackley,2,777
Matching-Adaptive-Filter,3.5652566501745437,0.320262239555682,4.440892098500626e-16,3.2449944106188617,0.08982866339790785,6,1.0,0.7265,0.37173784968226176,Ackley,2,777
Random-Adaptive-Filter,3.5652566501745437,0.2760904891217817,4.440892098500626e-16,3.289166161052762,0.07743916250973538,6,0.65,0.967,0.062463267317119764,Ackley,2,777
Wrong-Adaptive-Filter,3.5652566501745437,0.2760904891217817,4.440892098500626e-16,3.289166161052762,0.07743916250973538,6,1.0,0.812,0.2560507652134604,Ackley,2,777
Oracle-Fixed-Filter,3.5652566501745437,0.8940293550254492,4.440892098500626e-16,2.6712272951490945,0.2507615699929148,1,0.8,0.4,1.0,Ackley,2,777
Matching-Soft-Rerank,3.5652566501745437,0.9211066703265236,4.440892098500626e-16,2.64414997984802,0.25835634309283984,6,0.0,1.0,,Ackley,2,777
Target-Only,4.673583574807875,1.3893516763319735,4.440892098500626e-16,3.2842318984759014,0.29727759311313645,0,0.0,1.0,0.0,Ackley,2,999
Matching-Fixed-Filter,4.673583574807875,1.127883109801282,4.440892098500626e-16,3.545700465006593,0.24133153751244246,6,0.95,0.2875,1.0,Ackley,2,999
Matching-Adaptive-Filter,4.673583574807875,0.19313912359826846,4.440892098500626e-16,4.480444451209607,0.04132570232387633,6,0.95,0.8309999999999998,0.2486334979690375,Ackley,2,999
Random-Adaptive-Filter,4.673583574807875,1.3893516763319735,4.440892098500626e-16,3.2842318984759014,0.29727759311313645,6,0.9,0.7900000000000001,0.3240171660575442,Ackley,2,999
Wrong-Adaptive-Filter,4.673583574807875,0.23447619236595374,4.440892098500626e-16,4.439107382441922,0.050170535866707444,6,0.95,0.8190000000000002,0.25641396447960196,Ackley,2,999
Oracle-Fixed-Filter,4.673583574807875,0.6104594023162062,4.440892098500626e-16,4.063124172491669,0.13061912610416965,1,0.75,0.4375,1.0,Ackley,2,999
Matching-Soft-Rerank,4.673583574807875,3.072729373174703,4.440892098500626e-16,1.600854201633172,0.6574675137377892,6,0.0,1.0,,Ackley,2,999
Target-Only,8.700947993693843,2.3023063639110046,4.440892098500626e-16,6.398641629782839,0.2646040828631132,0,0.0,1.0,0.0,Ackley,2,1234
Matching-Fixed-Filter,8.700947993693843,0.48705864033071977,4.440892098500626e-16,8.213889353363124,0.05597765216890426,6,0.95,0.2875,1.0,Ackley,2,1234
Matching-Adaptive-Filter,8.700947993693843,1.7570299139143768,4.440892098500626e-16,6.943918079779467,0.20193545751426317,6,0.95,0.7144999999999999,0.4062644643304235,Ackley,2,1234
Random-Adaptive-Filter,8.700947993693843,2.0893606645846323,4.440892098500626e-16,6.611587329109211,0.2401302324871877,6,0.3,0.9715000000000001,0.08666720454844537,Ackley,2,1234
Wrong-Adaptive-Filter,8.700947993693843,0.26944048806498033,4.440892098500626e-16,8.431507505628863,0.03096679675137254,6,1.0,0.7975000000000001,0.27610451991255547,Ackley,2,1234
Oracle-Fixed-Filter,8.700947993693843,1.060841766116035,4.440892098500626e-16,7.640106227577808,0.12192254992041066,1,0.5,0.625,0.55,Ackley,2,1234
