problem,dim,seed,panel,point_index,chart_point,clean_target_y,observed_target_y
GMM,2,42,test,29,"[-0.7006509862840176, 0.4898931384086609]",-0.9297532051549033,-0.9297532051549033
GMM,2,42,test,30,"[-0.4764497447758913, -0.9544207155704498]",-0.8930684549089216,-0.8930684549089216
GMM,2,42,test,31,"[0.20843570120632648, 0.6565788350999355]",-0.953744954033577,-0.953744954033577
GMM,2,42,test,32,"[0.22260677255690098, -0.23214896768331528]",-0.9899540802934216,-0.9899540802934216
GMM,2,42,test,33,"[-0.4544729832559824, 0.40306829288601875]",-0.9639571786326604,-0.9639571786326604
GMM,2,42,test,34,"[-0.7460493929684162, -0.929965179413557]",-0.8681336384258576,-0.8681336384258576
GMM,2,42,test,35,"[0.9466782361268997, 0.6965839937329292]",-0.871040920502357,-0.871040920502357
GMM,2,42,test,36,"[0.615239791572094, -0.6843465324491262]",-0.9192780819364328,-0.9192780819364328
GMM,2,42,test,37,"[-0.8169677518308163, 0.950930779799819]",-0.8548240166259216,-0.8548240166259216
GMM,2,42,test,38,"[-0.10744552500545979, -0.47774472273886204]",-0.9766488078030239,-0.9766488078030239
GMM,2,42,test,39,"[0.340409891679883, 0.14862232841551304]",-0.9864465565608869,-0.9864465565608869
GMM,2,42,test,40,"[0.48237133026123047, -0.8185998350381851]",-0.9142397645876931,-0.9142397645876931
GMM,2,42,test,41,"[-0.21814194694161415, 0.5539343766868114]",-0.9653148270096392,-0.9653148270096392
GMM,2,42,test,42,"[-0.9901946876198053, -0.019347060471773148]",-0.9069491646382511,-0.9069491646382511
GMM,2,42,test,43,"[0.6947317514568567, 0.34647436439991]",-0.9416206857114053,-0.9416206857114053
GMM,2,42,test,44,"[0.8671900648623705, -0.27271336130797863]",-0.9209553184254701,-0.9209553184254701
GMM,2,42,test,45,"[-0.5728262383490801, 0.09988286904990673]",-0.9669966912592225,-0.9669966912592225
GMM,2,42,test,46,"[-0.34378034994006157, -0.5651343483477831]",-0.957578875963204,-0.957578875963204
GMM,2,42,test,47,"[0.08064911514520645, 0.8005029875785112]",-0.9374099544975438,-0.9374099544975438
GMM,2,42,test,48,"[0.008306311443448067, -0.5302797202020884]",-0.9726286967744018,-0.9726286967744018
GMM,2,42,test,49,"[-0.30671371705830097, 0.8574380818754435]",-0.9205521086430379,-0.9205521086430379
GMM,2,42,test,50,"[-0.516136821359396, -0.3231853600591421]",-0.9639163710896332,-0.9639163710896332
GMM,2,42,test,51,"[0.783281110227108, 0.05854988656938076]",-0.9403345323737079,-0.9403345323737079
GMM,2,42,test,52,"[0.6537594646215439, -0.07664690539240837]",-0.9577974187167043,-0.9577974187167043
