dim,seed,sample_size,noise_level,method,basin_recall,mean_matched_mahalanobis,median_matched_mahalanobis,normalized_center_error,normalized_shape_error,extracted_count,oracle_count
2,42,500,0.0,Random-Centers,0.6666666666666666,2.9061701803468067,1.596086712035249,0.12681892996451447,0.1195915078691281,3,3
2,42,500,0.02,Proposed-Local-Structure,1.0,0.2217470308528595,0.2535024665660014,0.014356225359645132,0.0733916479501255,3,3
2,42,500,0.02,Top-Observations,0.6666666666666666,2.615996694917521,0.57683371086117,0.16341836539242832,0.11955504604909623,3,3
2,42,500,0.02,Random-Centers,0.3333333333333333,4.492011482844544,3.277613220810536,0.21544661605176285,0.1195915078691281,3,3
2,42,500,0.05,Proposed-Local-Structure,1.0,0.15182265721923416,0.14127082573187175,0.009107600006178452,0.05866841101304988,3,3
2,42,500,0.05,Top-Observations,0.3333333333333333,3.885247804377665,4.128719116974498,0.24964072766530915,0.11955504604909623,3,3
2,42,500,0.05,Random-Centers,0.3333333333333333,4.179522699384072,3.373122278885648,0.216156898934155,0.1195915078691281,3,3
2,101,100,0.0,Proposed-Local-Structure,0.6666666666666666,1.1280591495038066,1.1280591495038066,0.07281331153436389,0.3603830706826728,2,3
2,101,100,0.0,Top-Observations,0.6666666666666666,1.734040376911959,0.6556765600923435,0.10919611755957154,0.1049692479352927,3,3
2,101,100,0.0,Random-Centers,0.0,9.889878846190909,6.54970159972124,0.42767328735996285,0.1046992775027365,3,3
2,101,100,0.02,Proposed-Local-Structure,0.6666666666666666,1.0541055567446798,1.0541055567446798,0.0702181010506983,0.3995453342386466,2,3
2,101,100,0.02,Top-Observations,0.6666666666666666,1.734040376911959,0.6556765600923435,0.10919611755957154,0.1049692479352927,3,3
2,101,100,0.02,Random-Centers,0.0,3.493583347286783,3.6542758756493376,0.18434899235555904,0.1046992775027365,3,3
2,101,100,0.05,Proposed-Local-Structure,0.3333333333333333,2.086089770646912,2.086089770646912,0.12031329780203741,0.4077182877402765,2,3
2,101,100,0.05,Top-Observations,0.6666666666666666,1.734040376911959,0.6556765600923435,0.10919611755957154,0.1049692479352927,3,3
2,101,100,0.05,Random-Centers,0.0,5.603864766899863,4.48473244723831,0.24690350518094134,0.1046992775027365,3,3
2,101,250,0.0,Proposed-Local-Structure,1.0,0.21988605060825264,0.19402035622417343,0.010493884942273123,0.13854479006298476,3,3
2,101,250,0.0,Top-Observations,0.3333333333333333,5.771535820195022,4.146783804797675,0.24116287551003632,0.10466738170700896,3,3
2,101,250,0.0,Random-Centers,0.0,6.856218166952307,5.415353599816064,0.31603855669825026,0.1046992775027365,3,3
2,101,250,0.02,Proposed-Local-Structure,1.0,0.22849300596586367,0.22686695239221283,0.011493460984364767,0.16073670676819496,3,3
2,101,250,0.02,Top-Observations,0.6666666666666666,1.674627345225747,0.5148734706334323,0.10331224420510475,0.10466738170700896,3,3
2,101,250,0.02,Random-Centers,0.0,5.43654029006053,4.787811206435306,0.28865875477174435,0.1046992775027365,3,3
2,101,250,0.05,Proposed-Local-Structure,1.0,0.32398619094718323,0.3447603712168681,0.01740578970448304,0.20765300480838125,3,3
2,101,250,0.05,Top-Observations,0.6666666666666666,1.6746273452257474,0.5148734706334323,0.10331224420510475,0.10466738170700896,3,3
2,101,250,0.05,Random-Centers,0.0,4.854043858058458,4.411614762217763,0.26371195962545346,0.1046992775027365,3,3
2,101,500,0.0,Proposed-Local-Structure,1.0,0.11027247403559078,0.09965803813608982,0.006146817277633519,0.06450243191487762,3,3
2,101,500,0.0,Top-Observations,0.6666666666666666,1.5749845868337975,0.4228081302503579,0.10024122445928832,0.10464337517507359,3,3
2,101,500,0.0,Random-Centers,0.0,5.451148434104291,3.9577790375117767,0.2365424085954778,0.1046992775027365,3,3
2,101,500,0.02,Proposed-Local-Structure,1.0,0.15423906210961064,0.1400114244293799,0.007715238778970061,0.07591957839666998,3,3
2,101,500,0.02,Top-Observations,0.6666666666666666,1.5815110407453317,0.4228081302503579,0.0997826519960229,0.10464337517507359,3,3
2,101,500,0.02,Random-Centers,0.3333333333333333,3.899246660419203,4.0407216852553764,0.2233802050749105,0.1046992775027365,3,3
2,101,500,0.05,Proposed-Local-Structure,1.0,0.12082412453735114,0.08056956462832436,0.0066354091874790775,0.07589634992753191,3,3
2,101,500,0.05,Top-Observations,0.6666666666666666,1.5815110407453317,0.4228081302503579,0.0997826519960229,0.10464337517507359,3,3
2,101,500,0.05,Random-Centers,0.3333333333333333,4.484826201137798,4.040197908664421,0.1822782389421108,0.1046992775027365,3,3
2,2026,100,0.0,Proposed-Local-Structure,0.6666666666666666,0.9634879732780837,0.9634879732780837,0.053063800242245884,0.4488028398899069,2,3
