problem,dim,seed,scenario,policy,step,region_index,region_type,source_task_id,posterior_mean,posterior_std,lower_bound,upper_bound,probability_positive,global_compatibility_trust,coverage,status,true_gain,true_useful,region_candidate_index,region_candidate_y,target_top1_y,decision_mode,selected_region_index
GMM,2,101,mixed,posterior,7,14,random,random::struct_matched_random,-0.20623600772827777,0.9222311730456281,-1.1284671807739057,0.7159951653173503,0.41152368472139156,0.3451111740992524,3.7495005619613617,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,15,random,random::struct_matched_random,-0.03782352898238555,0.8911109126935035,-0.928934441675889,0.853287383711118,0.4830718319727324,0.3451111740992524,1.037841209404625,uncertain,0.011859151079564005,1.0,9,-0.022708543634077108,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,16,wrong,wrong::wrong_0,0.21539388387975944,0.9790697510218622,-0.7636758671421028,1.1944636349016218,0.5870638414298199,0.3451111740992524,4.375889013214594,uncertain,0.4640433611209433,1.0,26,-0.4748927536754564,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,17,wrong,wrong::merged_2,0.46823868259040197,0.8931052171218324,-0.4248665345314305,1.3613438997122345,0.69995867325886,0.3451111740992524,0.6520187862683136,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,18,wrong,wrong::wrong_0,0.11039082854361128,0.9760405619198884,-0.8656497333762772,1.0864313904634997,0.5450246228285643,0.3451111740992524,0.23792441805627867,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,19,wrong,wrong::wrong_1,0.18601595223310138,0.9541132549535977,-0.7680973027204963,1.140129207186699,0.5772887026291471,0.3451111740992524,3.8098916313604207,uncertain,0.005318020001916933,1.0,8,-0.016167412556430037,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,20,wrong,wrong::wrong_1,0.20218545671009286,0.9815228359579931,-0.7793373792479001,1.183708292668086,0.5816012625077804,0.3451111740992524,0.09529015333237575,uncertain,0.02095881212042785,1.0,6,-0.03180820467494095,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,21,wrong,wrong::wrong_1,0.32536266953542947,0.9760584873350021,-0.6506958177995726,1.3014211568704317,0.630562464513026,0.3451111740992524,0.13342775286824904,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,22,wrong,wrong::wrong_2,0.22546830466809392,0.9700359392944308,-0.7445676346263368,1.1955042439625247,0.5918991162778656,0.3451111740992524,4.325161565484954,uncertain,0.005318020001916933,1.0,8,-0.016167412556430037,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,23,wrong,wrong::wrong_2,0.0,1.0,-1.0,1.0,0.5,0.3451111740992524,0.0,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,arise,0,0,matching,matching::matching_0,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,1,matching,matching::matching_0,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,2,matching,matching::merged_2,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.48888442334092025,1.0,8,-0.5469658104981404,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,3,matching,matching::matching_1,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,4,matching,matching::matching_1,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,5,matching,matching::matching_2,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,6,matching,matching::matching_2,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.48888442334092025,1.0,8,-0.5469658104981404,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,7,matching,matching::matching_2,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.16516194860447025,1.0,2,-0.22324333576169042,-0.05808138715722016,probe,7.0
GMM,2,101,mixed,arise,0,8,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.24285714285712282,0.0,uncertain,0.0,0.0,0,-0.05808138715722016,-0.05808138715722016,probe,7.0
