problem,dim,seed,scenario,policy,step,best_y,normalized_regret,mode,selected_target_rank,selected_region_index,excess_improvement_residual,global_compatibility_trust,trusted_regions,rejected_regions,uncertain_regions
GMM,2,42,mixed,posterior,6,-0.2308536016566932,0.8812922146715984,target,0,,-0.05678084597376478,0.30501735106996586,0,0,26
GMM,2,42,mixed,posterior,7,-0.2308536016566932,0.8812922146715984,target,0,,-0.0659379260927848,0.3401098901098725,0,0,26
GMM,2,42,mixed,posterior,8,-0.28515723943548626,0.8190862646154488,target,0,,0.8469010626432607,0.35264613252706767,0,0,26
GMM,2,42,mixed,arise,1,-0.12722582054929782,1.0,probe,2,7.0,-0.2433612427748649,0.21836734693875726,0,0,26
GMM,2,42,mixed,arise,2,-0.12722582054929782,1.0,target,0,,-0.0922013866078015,0.28287037037034957,0,0,26
GMM,2,42,mixed,arise,3,-0.18000641878067927,0.9395387235218113,target,0,,0.7801109291493193,0.2745238095237909,0,0,26
GMM,2,42,mixed,arise,4,-0.6436679259402962,0.4084047933269189,probe,0,2.0,8.933273434440745,0.3253342245989102,2,0,24
GMM,2,42,mixed,arise,5,-0.6825066447800668,0.3639142305724819,exploit,3,7.0,0.2534261276991367,0.3665597776708675,3,0,23
GMM,2,42,mixed,arise,6,-0.7984175615451236,0.2311358570752747,exploit,1,5.0,1.4837281687550712,0.2427993059571872,3,0,23
GMM,2,42,mixed,arise,7,-0.7984175615451236,0.2311358570752747,probe,1,14.0,-0.14335108355810952,0.11615884115883474,3,0,23
GMM,2,42,mixed,arise,8,-0.7984175615451236,0.2311358570752747,exploit,11,7.0,-0.2832162043441014,0.10659863945577673,3,0,23
GMM,2,42,wrong,target_only,1,-0.12722582054929782,1.0,target,0,,-0.24471466935372932,0.3484693877550745,0,0,8
GMM,2,42,wrong,target_only,2,-0.12722582054929782,1.0,target,0,,-0.09171230808990662,0.39722222222219383,0,0,8
GMM,2,42,wrong,target_only,3,-0.12722582054929782,1.0,target,0,,-0.0768581933731168,0.4149999999999726,0,0,8
GMM,2,42,wrong,target_only,4,-0.12722582054929782,1.0,target,0,,-0.08071413199050939,0.42790775401066883,0,0,8
GMM,2,42,wrong,target_only,5,-0.2308536016566932,0.8812922146715984,target,0,,1.733509399917718,0.43849607182937983,0,0,8
GMM,2,42,wrong,target_only,6,-0.2308536016566932,0.8812922146715984,target,0,,-0.05678084597376478,0.44787449392710127,0,0,8
GMM,2,42,wrong,target_only,7,-0.2308536016566932,0.8812922146715984,target,0,,-0.0659379260927848,0.4195679320679105,0,0,8
GMM,2,42,wrong,target_only,8,-0.28515723943548626,0.8190862646154488,target,0,,0.8469010626432607,0.4384911186696687,0,0,8
GMM,2,42,wrong,fixed,1,-0.1402084769336824,0.9851280962440684,fixed,16,0.0,-0.18110988832826105,0.3484693877550745,0,0,8
GMM,2,42,wrong,fixed,2,-0.1402084769336824,0.9851280962440684,fixed,6,0.0,-0.0036651336084333997,0.2541666666666478,0,0,8
GMM,2,42,wrong,fixed,3,-0.1402084769336824,0.9851280962440684,fixed,0,0.0,-0.09050933516353205,0.30428571428569384,0,0,8
GMM,2,42,wrong,fixed,4,-0.1402084769336824,0.9851280962440684,fixed,3,2.0,-0.08327288319166459,0.27901069518714827,0,0,8
GMM,2,42,wrong,fixed,5,-0.2613227741998206,0.8463891418205531,fixed,5,5.0,2.071150063321908,0.3111378333600374,1,0,7
GMM,2,42,wrong,fixed,6,-0.34123330099408955,0.7548499661400213,fixed,0,5.0,1.2816998012585639,0.29984817813763537,1,0,7
GMM,2,42,wrong,fixed,7,-0.5309394861484951,0.5375375730526809,fixed,5,5.0,3.4395352029669186,0.2724525474525333,1,0,7
GMM,2,42,wrong,fixed,8,-0.6342890034736839,0.41914854469243845,fixed,0,5.0,1.51856008238847,0.212851788863683,1,0,7
GMM,2,42,wrong,global_adaptive,1,-0.12722582054929782,1.0,global,0,7.0,-0.24471466935372932,0.3484693877550745,0,0,8
GMM,2,42,wrong,global_adaptive,2,-0.12722582054929782,1.0,global,4,0.0,-0.08993594953474503,0.39722222222219383,0,0,8
GMM,2,42,wrong,global_adaptive,3,-0.12722582054929782,1.0,global,3,6.0,-0.09661948116691606,0.36499999999997573,0,0,8
GMM,2,42,wrong,global_adaptive,4,-0.12722582054929782,1.0,global,0,5.0,-0.17082752225738856,0.39481951871655313,0,0,8
GMM,2,42,wrong,global_adaptive,5,-0.12722582054929782,1.0,global,0,6.0,-0.13376431061798458,0.41246860135746644,0,0,8
GMM,2,42,wrong,global_adaptive,6,-0.5222539870897933,0.5474869934369877,global,1,0.0,7.320311751008775,0.42513013302484687,1,0,7
GMM,2,42,wrong,global_adaptive,7,-0.5222539870897933,0.5474869934369877,global,0,6.0,-0.16382402798752874,0.4465784215783987,1,0,7
GMM,2,42,wrong,global_adaptive,8,-0.580075168263099,0.48125162403308225,global,4,0.0,0.7879172724047411,0.4834410430838768,1,0,7
GMM,2,42,wrong,posterior,1,-0.12722582054929782,1.0,target,0,,-0.24471466935372932,0.3484693877550745,0,0,8
GMM,2,42,wrong,posterior,2,-0.12722582054929782,1.0,target,0,,-0.09171230808990662,0.39722222222219383,0,0,8
GMM,2,42,wrong,posterior,3,-0.12722582054929782,1.0,target,0,,-0.0768581933731168,0.4149999999999726,0,0,8
GMM,2,42,wrong,posterior,4,-0.12722582054929782,1.0,target,0,,-0.08071413199050939,0.42790775401066883,0,0,8
