seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seeds
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,spearman,0.8963502563633032,0.8522077000549351,-0.044142556308368164,-0.143004801089544,-0.2702851755630837,-0.03399676756203084,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,precision_at_top,0.4615384615384615,0.4615384615384615,0.0,0.00961538461538463,-0.1348557692307692,0.15384615384615385,0.25,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,mean_negative_log_likelihood,-2.2203579716664863,-2.0362890324233454,0.18406893924314094,4.158736216848167,0.300703985060886,9.050044233214946,0.625,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,interval_coverage_95,1.0,1.0,0.0,-0.228515625,-0.4248046875,-0.0498046875,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,pairwise_accuracy,0.7952755905511811,0.7736220472440944,-0.021653543307086687,-0.12200110728346458,-0.20288816437007876,-0.04559777928149611,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,ndcg_at_top,0.9246168611975488,0.926139660737512,0.0015227995399631489,-0.22272334883833964,-0.36699482613284357,-0.09743717023710581,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,normalized_top1_regret,0.0622331979600484,0.0622331979600484,0.0,-0.3606357513912223,-0.5326384325213726,-0.19642512242867607,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,standardized_rmse,0.9768705568933556,1.3571401283781348,-0.38026957148477925,-0.7313383107651297,-1.3322575183357377,-0.22885267663335523,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,spearman,0.8035158395898188,0.7592588353781359,-0.04425700421168288,-0.2878550746200329,-0.5061192075054934,-0.09786440212415307,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,precision_at_top,0.5384615384615384,0.5384615384615384,0.0,-0.22115384615384617,-0.3560096153846154,-0.08653846153846154,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,mean_negative_log_likelihood,-0.7727004225681922,-0.8197895936111097,-0.047089171042917544,2.162919784107399,-0.39210898624212015,4.923227402635049,0.375,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,interval_coverage_95,0.7265625,0.828125,0.1015625,0.0634765625,-0.095703125,0.20317382812499973,0.75,8
