seed,relation,control,relation_or_control,condition,shell,method,n_rows,pairwise_accuracy,ndcg_at_top,normalized_top1_regret,standardized_rmse,spearman,precision_at_top,mean_negative_log_likelihood,interval_coverage_95
71,output_affine,none,output_affine,output_affine,0.35,geometry,1,0.9048966535433072,0.9683532686292204,0.0,0.4382123756837133,0.9526300128181652,0.7692307692307693,-1.4492684729597494,0.8828125
71,output_affine,none,output_affine,output_affine,0.35,rank,1,0.9048966535433072,0.9840206741599808,0.0,0.2817689108665016,0.9440292528840872,0.8461538461538461,-1.9443018891002963,0.8125
71,output_affine,none,output_affine,output_affine,0.35,target_only,1,0.9085875984251968,0.953965995386866,0.0,0.4964978839168765,0.95445545687603,0.5384615384615384,-1.2175785337682612,1.0
71,output_affine,none,output_affine,output_affine,0.35,value,1,0.955339566929134,0.998504491420878,0.0,0.0486300324100697,0.9770417505951292,0.9230769230769232,-3.660230844466555,1.0
71,output_affine,none,output_affine,output_affine,0.7,dual,1,0.9375,0.9969442019826732,0.0,0.3813573612226302,0.97153108405054,0.9230769230769232,1.7022724411113597,0.234375
71,output_affine,none,output_affine,output_affine,0.7,geometry,1,0.8801673228346457,0.8139459545643349,0.2936444098730756,1.4273577093363814,0.9215917414392968,0.3076923076923077,1.2887622894867077,0.421875
71,output_affine,none,output_affine,output_affine,0.7,rank,1,0.922613188976378,0.9897595250118482,0.0,0.9887060222137888,0.96247825489837,0.8461538461538461,2.448513754092432,0.234375
71,output_affine,none,output_affine,output_affine,0.7,target_only,1,0.8823818897637795,0.9187060358643984,0.0851780864022017,1.8231776377399664,0.9274686412744918,0.4615384615384615,0.5122936732450414,0.7421875
71,output_affine,none,output_affine,output_affine,0.7,value,1,0.9483267716535432,0.9995054202671037,0.0,0.1551093226747384,0.9785696301043764,1.0,-1.8329148389155303,0.7421875
71,output_affine,none,output_affine,output_affine,1.0,dual,1,0.9669045275590552,0.997171397349553,0.0,0.0974147674612938,0.990271928218275,0.9230769230769232,-0.8622634115725941,0.75
71,output_affine,none,output_affine,output_affine,1.0,geometry,1,0.8623277559055118,0.8078945092387584,0.2067090870835566,0.4395935249781194,0.9026506134407616,0.3076923076923077,0.1226516201919088,0.765625
71,output_affine,none,output_affine,output_affine,1.0,rank,1,0.9422982283464568,0.9956871026628884,0.0,0.2193732103181724,0.974649789415858,0.9230769230769232,-0.5395445084145086,0.828125
71,output_affine,none,output_affine,output_affine,1.0,target_only,1,0.8537155511811023,0.8818090344379509,0.1128590462348811,0.4995668499212352,0.8920355704083499,0.4615384615384615,0.0065526131989498,0.9453125
71,output_affine,none,output_affine,output_affine,1.0,value,1,0.9733021653543308,0.9986276991904134,0.0,0.0648995125352201,0.9941917689067936,1.0,-1.5861815614615236,0.8046875
71,reversal,none,reversal,reversal,0.35,dual,1,0.9085875984251968,0.8592404350073656,0.0047438239093209,0.4964978839168781,0.95445545687603,0.5384615384615384,-2.1338692656424154,1.0
71,reversal,none,reversal,reversal,0.35,geometry,1,0.9085875984251968,0.8592404350073656,0.0047438239093209,0.4964978839168781,0.95445545687603,0.5384615384615384,-2.1338692656424154,1.0
71,reversal,none,reversal,reversal,0.35,rank,1,0.9085875984251968,0.8592404350073656,0.0047438239093209,0.4964978839168781,0.95445545687603,0.5384615384615384,-2.1338692656424154,1.0
71,reversal,none,reversal,reversal,0.35,target_only,1,0.9085875984251968,0.8592404350073656,0.0047438239093209,0.4964978839168781,0.95445545687603,0.5384615384615384,-2.1338692656424154,1.0
71,reversal,none,reversal,reversal,0.35,value,1,0.9085875984251968,0.8592404350073656,0.0047438239093209,0.4964978839168781,0.95445545687603,0.5384615384615384,-2.1338692656424154,1.0
71,reversal,none,reversal,reversal,0.7,dual,1,0.8823818897637795,0.9509788980111186,0.0010741981680168,1.8231776377399664,0.9274686412744918,0.5384615384615384,-0.4039970586291144,0.7421875
71,reversal,none,reversal,reversal,0.7,geometry,1,0.8823818897637795,0.9509788980111186,0.0010741981680168,1.8231776377399664,0.9274686412744918,0.5384615384615384,-0.4039970586291144,0.7421875
71,reversal,none,reversal,reversal,0.7,rank,1,0.8823818897637795,0.9509788980111186,0.0010741981680168,1.8231776377399664,0.9274686412744918,0.5384615384615384,-0.4039970586291144,0.7421875
71,reversal,none,reversal,reversal,0.7,target_only,1,0.8823818897637795,0.9509788980111186,0.0010741981680168,1.8231776377399664,0.9274686412744918,0.5384615384615384,-0.4039970586291144,0.7421875
71,reversal,none,reversal,reversal,0.7,value,1,0.8823818897637795,0.9509788980111186,0.0010741981680168,1.8231776377399664,0.9274686412744918,0.5384615384615384,-0.4039970586291144,0.7421875
71,reversal,none,reversal,reversal,1.0,dual,1,0.8537155511811023,0.9179794669880456,1.222485846564628e-05,0.4995668499212354,0.8920355704083499,0.4615384615384615,-0.9097381186752048,0.9453125
71,reversal,none,reversal,reversal,1.0,geometry,1,0.8537155511811023,0.9179794669880456,1.222485846564628e-05,0.4995668499212354,0.8920355704083499,0.4615384615384615,-0.9097381186752048,0.9453125
71,reversal,none,reversal,reversal,1.0,rank,1,0.8537155511811023,0.9179794669880456,1.222485846564628e-05,0.4995668499212354,0.8920355704083499,0.4615384615384615,-0.9097381186752048,0.9453125
71,reversal,none,reversal,reversal,1.0,target_only,1,0.8537155511811023,0.9179794669880456,1.222485846564628e-05,0.4995668499212354,0.8920355704083499,0.4615384615384615,-0.9097381186752048,0.9453125
