problem,dim,seed,method,initial_best_y,final_best_y,known_optimum_y,final_normalized_regret,auc_normalized_regret,total_improvement,trace_points
GMM,2,8888,Local-Rank-No-Reliability,-0.6799410767470953,-0.9985780653188672,-1.0001911515148465,0.005036958062068079,1.283642088118851,0.3186369885717719,21
GMM,2,8888,Local-Rank+Reliability,-0.6799410767470953,-0.9985780653188672,-1.0001911515148465,0.005036958062068079,1.283642088118851,0.3186369885717719,21
Rastrigin,2,42,Target-Only,15.894310576330017,1.2780621510433647,0.0,0.08041004011502512,14.395317344974092,14.616248425286653,21
Rastrigin,2,42,Geometry-Only,15.894310576330017,2.111046462141175,0.0,0.13281774330526602,9.42266793958083,13.783264114188842,21
Rastrigin,2,42,Local-Rank-No-Reliability,15.894310576330017,1.6996571741844022,0.0,0.10693494165865554,10.266411368523539,14.194653402145615,21
Rastrigin,2,42,Local-Rank+Reliability,15.894310576330017,1.6996571741844022,0.0,0.10693494165865554,10.266411368523539,14.194653402145615,21
Rastrigin,2,101,Target-Only,4.798737415535577,1.13629611549689,0.0,0.23679064243403083,19.618395321217015,3.6624413000386866,21
Rastrigin,2,101,Geometry-Only,4.798737415535577,2.3745803848320435,0.0,0.49483440730566036,10.654436535154716,2.424157030703533,21
Rastrigin,2,101,Local-Rank-No-Reliability,4.798737415535577,4.185269091894767,0.0,0.8721604725328899,18.657684961595344,0.6134683236408094,21
Rastrigin,2,101,Local-Rank+Reliability,4.798737415535577,4.185269091894767,0.0,0.8721604725328899,18.657684961595344,0.6134683236408094,21
Rastrigin,2,2026,Target-Only,19.743045218375087,2.0052028313079973,0.0,0.10156502247392571,14.727904338556916,17.73784238706709,21
Rastrigin,2,2026,Geometry-Only,19.743045218375087,1.0952449000588302,0.0,0.05547497298134498,4.911004721711444,18.647800318316257,21
Rastrigin,2,2026,Local-Rank-No-Reliability,19.743045218375087,1.5323399396817408,0.0,0.07761416350581894,6.51259749994528,18.210705278693347,21
Rastrigin,2,2026,Local-Rank+Reliability,19.743045218375087,1.5323399396817408,0.0,0.07761416350581894,6.51259749994528,18.210705278693347,21
Rastrigin,2,777,Target-Only,16.69705749331775,4.0529667232789315,0.0,0.24273538765144398,16.69834982367131,12.644090770038819,21
Rastrigin,2,777,Geometry-Only,16.69705749331775,1.0531765607624664,0.0,0.06307557850740786,8.24051749638195,15.643880932555284,21
Rastrigin,2,777,Local-Rank-No-Reliability,16.69705749331775,5.949203306279609,0.0,0.3563024987283245,18.265031209379213,10.747854187038142,21
Rastrigin,2,777,Local-Rank+Reliability,16.69705749331775,5.949203306279609,0.0,0.3563024987283245,18.265031209379213,10.747854187038142,21
Rastrigin,2,999,Target-Only,25.917956496102637,8.266514355958929,0.0,0.318949310575546,12.475655802091694,17.651442140143708,21
Rastrigin,2,999,Geometry-Only,25.917956496102637,7.091504509315683,0.0,0.2736135663466391,11.560105450680147,18.826451986786953,21
Rastrigin,2,999,Local-Rank-No-Reliability,25.917956496102637,3.6067595960124166,0.0,0.1391606470423228,5.8432645618424575,22.31119690009022,21
Rastrigin,2,999,Local-Rank+Reliability,25.917956496102637,3.6067595960124166,0.0,0.1391606470423228,5.8432645618424575,22.31119690009022,21
Rastrigin,2,1234,Target-Only,23.924378891254843,6.450352235741951,0.0,0.26961419834810296,12.274547550588654,17.474026655512894,21
Rastrigin,2,1234,Geometry-Only,23.924378891254843,12.678711307566184,0.0,0.5299494446729681,11.304064726449912,11.24566758368866,21
