problem,dim,seed,n_init,target_only_r2,match_partial_corr,match_delta_r2,rand_partial_corr,rand_delta_r2,wrong_partial_corr,wrong_delta_r2,method,top1_true_y,top1_regret_pool,top1_improvement,top1_hit_top05,top1_hit_top10,rank_of_pool_oracle,top3_mean_regret_pool
GMM,2,777,6,4.2784281006347236e-05,0.7535604183558261,0.5678290089172743,0.17848442902087613,0.031855328437271346,-0.31394500117883356,0.09855724688381551,Random-Region,-0.18688263774697866,0.793506882755605,0.0,0.0,0.0,260,0.848548599270065
GMM,2,777,6,4.2784281006347236e-05,0.7535604183558261,0.5678290089172743,0.17848442902087613,0.031855328437271346,-0.31394500117883356,0.09855724688381551,Wrong-Source,-0.0019210491742356736,0.978468471328348,0.0,0.0,0.0,552,0.9631495117995494
GMM,2,777,6,4.2784281006347236e-05,0.7535604183558261,0.5678290089172743,0.17848442902087613,0.031855328437271346,-0.31394500117883356,0.09855724688381551,Oracle-Target-Region,-0.5174210471440494,0.4629684733585343,0.0,0.0,1.0,124,0.4770722676845235
GMM,2,777,6,4.2784281006347236e-05,0.7535604183558261,0.5678290089172743,0.17848442902087613,0.031855328437271346,-0.31394500117883356,0.09855724688381551,Hard-Filter,-0.3278475561243377,0.652541964378246,0.0,0.0,0.0,203,0.5615679105844174
GMM,2,999,6,0.0046072384909903175,0.6932862008339551,0.47843130663797584,0.029198550365045733,0.0008486274176261466,-0.3873011635962877,0.1493110954534419,Target-Only,-0.036750073091413954,0.9606340296826401,0.0,0.0,0.0,849,0.9378203798317091
GMM,2,999,6,0.0046072384909903175,0.6932862008339551,0.47843130663797584,0.029198550365045733,0.0008486274176261466,-0.3873011635962877,0.1493110954534419,Source-Region,-0.6339162407809784,0.3634678619930757,0.0,0.0,1.0,403,0.382657499232153
GMM,2,999,6,0.0046072384909903175,0.6932862008339551,0.47843130663797584,0.029198550365045733,0.0008486274176261466,-0.3873011635962877,0.1493110954534419,Random-Region,-0.34664679383462116,0.6507373089394329,0.0,0.0,0.0,505,0.6517668940596928
GMM,2,999,6,0.0046072384909903175,0.6932862008339551,0.47843130663797584,0.029198550365045733,0.0008486274176261466,-0.3873011635962877,0.1493110954534419,Wrong-Source,-0.05734749765553406,0.94003660511852,0.0,0.0,0.0,897,0.9438055302937519
GMM,2,999,6,0.0046072384909903175,0.6932862008339551,0.47843130663797584,0.029198550365045733,0.0008486274176261466,-0.3873011635962877,0.1493110954534419,Oracle-Target-Region,-0.5599486849163794,0.4374354178576747,0.0,0.0,1.0,341,0.40062009135595233
GMM,2,999,6,0.0046072384909903175,0.6932862008339551,0.47843130663797584,0.029198550365045733,0.0008486274176261466,-0.3873011635962877,0.1493110954534419,Hard-Filter,-0.273056851321444,0.72432725145261,0.0,0.0,0.0,280,0.7093321289739405
Rastrigin,2,42,6,0.02360700699861229,0.44326440379462834,0.19184494828552978,0.22361156033002239,0.04882172928242012,0.050829937631432405,0.0025226895473482447,Target-Only,39.02517704121445,36.05193626636657,0.0,0.0,0.0,782,27.530922406110648
Rastrigin,2,42,6,0.02360700699861229,0.44326440379462834,0.19184494828552978,0.22361156033002239,0.04882172928242012,0.050829937631432405,0.0025226895473482447,Source-Region,44.41087443249846,41.43763365765058,0.0,0.0,0.0,419,35.92866931322994
Rastrigin,2,42,6,0.02360700699861229,0.44326440379462834,0.19184494828552978,0.22361156033002239,0.04882172928242012,0.050829937631432405,0.0025226895473482447,Random-Region,43.70143788895148,40.7281971141036,0.0,0.0,0.0,440,22.97515044436048
Rastrigin,2,42,6,0.02360700699861229,0.44326440379462834,0.19184494828552978,0.22361156033002239,0.04882172928242012,0.050829937631432405,0.0025226895473482447,Wrong-Source,34.74267218717615,31.769431412328267,0.0,0.0,0.0,452,36.934203795908196
Rastrigin,2,42,6,0.02360700699861229,0.44326440379462834,0.19184494828552978,0.22361156033002239,0.04882172928242012,0.050829937631432405,0.0025226895473482447,Oracle-Target-Region,23.04174891001997,20.068508135172088,3.1724915628037635,0.0,0.0,380,14.085334828584312
Rastrigin,2,42,6,0.02360700699861229,0.44326440379462834,0.19184494828552978,0.22361156033002239,0.04882172928242012,0.050829937631432405,0.0025226895473482447,Hard-Filter,23.04174891001997,20.068508135172088,3.1724915628037635,0.0,0.0,258,15.701281057689073
Rastrigin,2,101,6,0.15692447108496577,0.43152511808764643,0.15699240545260107,-0.06470263339301226,0.0035294773339895613,0.19748643212562705,0.0328806967015105,Target-Only,38.14166418709156,36.731744799601216,0.0,0.0,0.0,390,40.792361948009685
