problem,dim,seed,method,step,best_y
Rastrigin,2,101,Hard-Filter,0,32.85809536853591
Rastrigin,2,101,Hard-Filter,1,17.197841622109102
Rastrigin,2,101,Hard-Filter,2,17.197841622109102
Rastrigin,2,101,Hard-Filter,3,9.42509335296089
Rastrigin,2,101,Hard-Filter,4,9.42509335296089
Rastrigin,2,101,Hard-Filter,5,9.42509335296089
Rastrigin,2,101,Hard-Filter,6,9.42509335296089
Rastrigin,2,101,Hard-Filter,7,9.42509335296089
Rastrigin,2,101,Hard-Filter,8,9.42509335296089
Rastrigin,2,101,Hard-Filter,9,9.42509335296089
Rastrigin,2,101,Hard-Filter,10,5.158255888240506
Rastrigin,2,2026,Target-Only,0,12.365193862042506
Rastrigin,2,2026,Target-Only,1,12.365193862042506
Rastrigin,2,2026,Target-Only,2,12.365193862042506
Rastrigin,2,2026,Target-Only,3,7.28315955477259
Rastrigin,2,2026,Target-Only,4,7.28315955477259
Rastrigin,2,2026,Target-Only,5,7.28315955477259
Rastrigin,2,2026,Target-Only,6,7.28315955477259
Rastrigin,2,2026,Target-Only,7,7.28315955477259
Rastrigin,2,2026,Target-Only,8,1.8657173675854075
Rastrigin,2,2026,Target-Only,9,1.8657173675854075
Rastrigin,2,2026,Target-Only,10,1.8657173675854075
Rastrigin,2,2026,Source-Region,0,12.365193862042506
Rastrigin,2,2026,Source-Region,1,12.365193862042506
Rastrigin,2,2026,Source-Region,2,12.365193862042506
Rastrigin,2,2026,Source-Region,3,12.365193862042506
Rastrigin,2,2026,Source-Region,4,12.365193862042506
Rastrigin,2,2026,Source-Region,5,12.365193862042506
Rastrigin,2,2026,Source-Region,6,12.365193862042506
Rastrigin,2,2026,Source-Region,7,12.365193862042506
Rastrigin,2,2026,Source-Region,8,12.365193862042506
Rastrigin,2,2026,Source-Region,9,12.365193862042506
Rastrigin,2,2026,Source-Region,10,12.365193862042506
Rastrigin,2,2026,Random-Region,0,12.365193862042506
Rastrigin,2,2026,Random-Region,1,12.365193862042506
Rastrigin,2,2026,Random-Region,2,12.365193862042506
Rastrigin,2,2026,Random-Region,3,12.365193862042506
Rastrigin,2,2026,Random-Region,4,12.365193862042506
Rastrigin,2,2026,Random-Region,5,12.365193862042506
Rastrigin,2,2026,Random-Region,6,12.365193862042506
Rastrigin,2,2026,Random-Region,7,7.63611529462915
Rastrigin,2,2026,Random-Region,8,7.63611529462915
