problem,dim,seed,n_init,target_only_r2_oos,match_partial_corr,match_corr_pval,match_delta_r2_oos,match_perm_pval,rand_partial_corr,rand_delta_r2_oos,wrong_partial_corr,wrong_delta_r2_oos,method,top1_true_y,top1_raw_regret,top1_normalized_regret,top1_signed_improvement,top1_positive_improvement,is_improved,top1_hit_top05,top1_hit_top10,rank_of_pool_oracle
GMM,2,8888,6,0.09670129814843587,0.6359570128635517,0.0,0.35955490607720153,0.0,0.12181096028283764,0.01245397073228649,0.3602028469445204,0.11670897343107012,Source-Region,-0.475389579693746,0.47879610836018865,0.5037635441711716,0.3421479470217156,0.3421479470217156,1.0,0.0,1.0,287
GMM,2,8888,6,0.09670129814843587,0.6359570128635517,0.0,0.35955490607720153,0.0,0.12181096028283764,0.01245397073228649,0.3602028469445204,0.11670897343107012,Random-Region,-0.06418725602871274,0.8899984320252219,0.9364085392409405,-0.06905437664331766,0.0,0.0,0.0,0.0,201
GMM,2,8888,6,0.09670129814843587,0.6359570128635517,0.0,0.35955490607720153,0.0,0.12181096028283764,0.01245397073228649,0.3602028469445204,0.11670897343107012,Wrong-Source,-0.475389579693746,0.47879610836018865,0.5037635441711716,0.3421479470217156,0.3421479470217156,1.0,0.0,1.0,651
GMM,2,8888,6,0.09670129814843587,0.6359570128635517,0.0,0.35955490607720153,0.0,0.12181096028283764,0.01245397073228649,0.3602028469445204,0.11670897343107012,Oracle-Target-Region,-0.475389579693746,0.47879610836018865,0.5037635441711716,0.3421479470217156,0.3421479470217156,1.0,0.0,1.0,200
GMM,2,8888,6,0.09670129814843587,0.6359570128635517,0.0,0.35955490607720153,0.0,0.12181096028283764,0.01245397073228649,0.3602028469445204,0.11670897343107012,Hard-Filter,-0.4965314486036311,0.4576542394503036,0.4815192054506199,0.3632898159316007,0.3632898159316007,1.0,0.0,1.0,298
Rastrigin,2,42,6,0.026035719151567105,0.24432346369283756,4.884981308350689e-15,0.057810534644338385,0.0,0.014808510696057188,-0.003090959465125054,0.22516864195114697,0.04719199525334794,Target-Only,33.94576101265491,31.679471973292138,0.5677061728352801,-18.08350052971595,0.0,0.0,0.0,0.0,648
Rastrigin,2,42,6,0.026035719151567105,0.24432346369283756,4.884981308350689e-15,0.057810534644338385,0.0,0.014808510696057188,-0.003090959465125054,0.22516864195114697,0.04719199525334794,Source-Region,31.87333301559457,29.607043976231797,0.5305676066470651,-16.01107253265561,0.0,0.0,0.0,0.0,225
Rastrigin,2,42,6,0.026035719151567105,0.24432346369283756,4.884981308350689e-15,0.057810534644338385,0.0,0.014808510696057188,-0.003090959465125054,0.22516864195114697,0.04719199525334794,Random-Region,55.69362067023451,53.427331630871734,0.957434706946332,-39.831360187295545,0.0,0.0,0.0,0.0,507
Rastrigin,2,42,6,0.026035719151567105,0.24432346369283756,4.884981308350689e-15,0.057810534644338385,0.0,0.014808510696057188,-0.003090959465125054,0.22516864195114697,0.04719199525334794,Wrong-Source,43.48806786015591,41.22177882079313,0.738707334249263,-27.625807377216944,0.0,0.0,0.0,0.0,677
Rastrigin,2,42,6,0.026035719151567105,0.24432346369283756,4.884981308350689e-15,0.057810534644338385,0.0,0.014808510696057188,-0.003090959465125054,0.22516864195114697,0.04719199525334794,Oracle-Target-Region,36.49978094985047,34.23349191048769,0.6134750191441037,-20.637520466911504,0.0,0.0,0.0,0.0,309
