seed,relation,method,standardized_rmse,ndcg_at_top,spearman,pairwise_accuracy,precision_at_top,normalized_top1_regret,mean_negative_log_likelihood,interval_coverage_95,n_test,oracle_order_agreement,fitted_expert_order_agreement,gate_accepted,gate_cv_gain,gate_context_pairwise,effective_mode,srmse_delta_vs_target_only,negative_transfer
11,independent_expert,Calibrated-Transfer,0.5261651001258378,0.9963417685693806,0.8966845817368011,0.8664191688424717,0.8974358974358975,0.005976407959788072,-0.4953230262637856,0.9609375,384,0.4628209312445605,0.4604878314220027,False,,,target_only,0.0,False
11,independent_expert,Gated-Transfer,0.5261651001258378,0.9963417685693806,0.8966845817368011,0.8664191688424717,0.8974358974358975,0.005976407959788072,-0.4953230262637856,0.9609375,384,0.4628209312445605,0.4604878314220027,False,-0.037416487355124775,0.5,target_only,0.0,False
23,identity,Target-Only,0.6519779842373864,0.9799599660451651,0.8112627581295988,0.8153965404699739,0.7692307692307693,0.023120220068970576,-0.3787116424313725,0.9453125,384,1.0,0.983476806331851,False,,,target_only,0.0,False
23,identity,Fixed-Transfer,0.31495791626177855,0.9886813260054728,0.9834794937438541,0.9440546127067014,0.8461538461538461,0.0302235501470194,1.8955731371760578,0.5026041666666666,384,1.0,0.983476806331851,False,,,fixed,-0.33702006797560785,False
23,identity,Calibrated-Transfer,0.32667573732685756,0.9968786150052569,0.9813932640466583,0.9419604003481288,0.9230769230769231,0.023120220068970576,1.040733376642568,0.6015625,384,1.0,0.983476806331851,False,,,calibrated,-0.32530224691052884,False
23,identity,Gated-Transfer,0.32667573732685756,0.9968786150052569,0.9813932640466583,0.9419604003481288,0.9230769230769231,0.023120220068970576,1.040733376642568,0.6015625,384,1.0,0.983476806331851,True,0.7338316587481356,1.0,calibrated,-0.32530224691052884,False
23,output_affine,Target-Only,0.6519779842373865,0.9799599660451651,0.8112627581295988,0.8153965404699739,0.7692307692307693,0.023120220068970583,0.5375790894427827,0.9453125,384,1.0,0.983476806331851,False,,,target_only,0.0,False
23,output_affine,Fixed-Transfer,0.31495791626177844,0.9886813260054728,0.9834794937438541,0.9440546127067014,0.8461538461538461,0.030223550147019534,2.8118638690502173,0.5026041666666666,384,1.0,0.983476806331851,False,,,fixed,-0.3370200679756081,False
23,output_affine,Calibrated-Transfer,0.32667573732685756,0.9968786150052569,0.9813932640466583,0.9419604003481288,0.9230769230769231,0.023120220068970583,1.9570241085167277,0.6015625,384,1.0,0.983476806331851,False,,,calibrated,-0.32530224691052895,False
23,output_affine,Gated-Transfer,0.32667573732685756,0.9968786150052569,0.9813932640466583,0.9419604003481288,0.9230769230769231,0.023120220068970583,1.9570241085167277,0.6015625,384,1.0,0.983476806331851,True,0.7137899367622349,1.0,calibrated,-0.32530224691052895,False
