dimension,panel,seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seed_units,n_pair_units
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,standardized_rmse,0.7111922828097745,0.7442179514625137,-0.03302566865273915,-0.3094816244148162,-0.692246645323763,-0.008256417163160735,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,spearman,0.835744369163157,0.8236415033876578,-0.012102865775499128,-0.11236709737227615,-0.2546437236769822,-0.01879878341878778,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,precision_at_top,0.6923076923076923,0.6923076923076923,0.0,-0.06730769230769232,-0.25,0.0673076923076923,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,mean_negative_log_likelihood,-2.173786456140653,-2.068205169368622,0.10558128677203094,0.7994054918437097,0.04836954066156318,2.1089682711144446,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,interval_coverage_95,1.0,1.0,0.0,-0.0986328125,-0.2177734375,-0.0146484375,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,pairwise_accuracy,0.8697096456692913,0.8699557086614174,0.0002460629921260393,-0.047213336614173235,-0.06958968996062995,-0.024555933193897657,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,ndcg_at_top,0.9480729491974652,0.960104781692631,0.012031832495165817,-0.02479393073118394,-0.0826701892556386,0.03177410212114457,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,normalized_top1_regret,0.0023626035374125,0.0,0.0023626035374125,-0.09320548952227703,-0.25067091618840615,0.05296130992149925,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,standardized_rmse,1.0726127154392135,1.6322018876390425,-0.559589172199829,-0.4461075317742501,-0.679689867764517,-0.22203361797248375,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,spearman,0.9115661051089544,0.9014317432704632,-0.010134361838491257,-0.08697325352499544,-0.13123646295893607,-0.04448500589406709,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,precision_at_top,0.5384615384615384,0.6923076923076923,0.15384615384615385,-0.009615384615384623,-0.1826923076923077,0.16346153846153846,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,mean_negative_log_likelihood,-0.9577297957663636,-0.5408274916866993,0.41690230407966433,-0.22434025398239277,-0.7217993062758907,0.3530524372961037,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,geometry,interval_coverage_95,0.796875,0.78125,-0.015625,0.154296875,0.0283203125,0.2548828125,0.75,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,pairwise_accuracy,0.8697096456692913,0.8647883858267716,-0.004921259842519676,-0.050289124015748046,-0.07443828432578742,-0.025940421998031517,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,ndcg_at_top,0.9480729491974652,0.9662742401108232,0.01820129091335798,-0.030195931156881115,-0.09155984955357263,0.029421307261756485,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,normalized_top1_regret,0.0023626035374125,0.0,0.0023626035374125,-0.09836359491018608,-0.28222163500700026,0.05538292807701256,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,standardized_rmse,1.0726127154392135,1.660682452574072,-0.5880697371348584,-0.45695826606622036,-0.6651765089467838,-0.2400735933510311,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,spearman,0.9115661051089544,0.8923960813037906,-0.01917002380516386,-0.08156129829701518,-0.1140537733473722,-0.04834778357329246,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,precision_at_top,0.5384615384615384,0.6923076923076923,0.15384615384615385,-0.03846153846153847,-0.23076923076923078,0.15384615384615385,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,mean_negative_log_likelihood,-0.9577297957663636,-0.5174980784792141,0.4402317172871495,-0.1897095276504827,-0.7312976653682565,0.3830290189419295,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,geometry,interval_coverage_95,0.796875,0.78125,-0.015625,0.130859375,0.0029052734375000014,0.2431640625,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,pairwise_accuracy,0.8697096456692913,0.8699557086614174,0.0002460629921260393,-0.054195374015748046,-0.07857752522145674,-0.02778935469980312,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,ndcg_at_top,0.9480729491974652,0.960104781692631,0.012031832495165817,-0.027692408873138438,-0.08359913892531044,0.029426459025406165,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,normalized_top1_regret,0.0023626035374125,0.0,0.0023626035374125,-0.09320548952227703,-0.25067091618840615,0.05296130992149925,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,standardized_rmse,1.0726127154392135,1.6322018876291575,-0.559589172189944,-0.5010169720413757,-0.7351100208556526,-0.2613972254385415,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,spearman,0.9115661051089544,0.9014317432704632,-0.010134361838491257,-0.09830073475553928,-0.14031788620444965,-0.05531467451016307,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,precision_at_top,0.5384615384615384,0.6923076923076923,0.15384615384615385,-0.028846153846153855,-0.21153846153846156,0.15384615384615385,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,mean_negative_log_likelihood,-0.9577297957663636,-0.5408274916927531,0.4169023040736105,-0.109326461154826,-0.6737827593210705,0.4738460786290166,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,geometry,interval_coverage_95,0.796875,0.78125,-0.015625,0.12890625,0.0029052734375000014,0.240234375,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,pairwise_accuracy,0.8647883858267716,0.8697096456692913,0.004921259842519676,0.04227669783464569,0.02168430118110233,0.062146668922244144,1.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,ndcg_at_top,0.9662742401108232,0.9480729491974652,-0.01820129091335798,0.05964863071662764,-0.023967202630394407,0.16677852584006597,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,normalized_top1_regret,0.0,0.0023626035374125,-0.0023626035374125,0.1836796202207502,-0.02364386741205138,0.42208087938174216,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,standardized_rmse,1.660682452574072,1.0726127154392135,0.5880697371348584,0.3273346584344623,0.17101386527256962,0.47454175555016204,0.875,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,spearman,0.8923960813037906,0.9115661051089544,0.01917002380516386,0.0752065784654825,0.04471701325306719,0.10439748186000727,1.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,precision_at_top,0.6923076923076923,0.5384615384615384,-0.15384615384615385,0.04807692307692308,-0.14423076923076925,0.2403846153846154,0.5,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,mean_negative_log_likelihood,-0.5174980784792141,-0.9577297957663636,-0.4402317172871495,0.4677498886525467,0.050878937773980504,0.8583829330366636,0.75,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,target_only,interval_coverage_95,0.78125,0.796875,0.015625,-0.1982421875,-0.276416015625,-0.10837402343750013,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,pairwise_accuracy,0.8647883858267716,0.8699557086614174,0.005167322834645716,-0.004936638779527547,-0.012383504552165315,0.0013072096456693133,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,ndcg_at_top,0.9662742401108232,0.960104781692631,-0.006169458418192164,0.0348546999854437,-0.0007711823022740205,0.08676631312127481,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,normalized_top1_regret,0.0,0.0,0.0,0.09047413069847317,-0.03572196151258668,0.23548735789216083,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,standardized_rmse,1.660682452574072,1.6322018876390425,0.028480564935029484,-0.11877287333978781,-0.25890650935495346,-0.00525264512999668,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,spearman,0.8923960813037906,0.9014317432704632,0.009035661966672603,-0.01176667505951294,-0.033609772706464036,0.0036823255241712786,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,precision_at_top,0.6923076923076923,0.6923076923076923,0.0,0.03846153846153846,0.0,0.09615384615384612,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,mean_negative_log_likelihood,-0.5174980784792141,-0.5408274916866993,-0.02332941320748516,0.24340963467015392,0.04151906713708203,0.5171670009614828,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,target_only,interval_coverage_95,0.78125,0.78125,0.0,-0.0439453125,-0.1005859375,-0.001953125,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,pairwise_accuracy,0.8647883858267716,0.8647883858267716,0.0,-0.008012426181102358,-0.021945743110236213,0.0,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,target_only,ndcg_at_top,0.9662742401108232,0.9662742401108232,0.0,0.029452699559746526,0.0,0.07638267278707966,0.25,8,8
