dimension,panel,seed,relation,control,relation_or_control,condition,shell,method,n_rows,pairwise_accuracy,ndcg_at_top,normalized_top1_regret,standardized_rmse,spearman,precision_at_top,mean_negative_log_likelihood,interval_coverage_95
2,test,11,roughness,none,roughness,roughness,1.0,geometry,1,0.6256151574803149,0.6231181161296993,0.0741582329849365,0.9355706907235112,0.3840814411279985,0.1538461538461538,5.966873955690135,0.359375
2,test,11,roughness,none,roughness,roughness,1.0,rank,1,0.6028543307086615,0.6258381576616654,0.0741582329849365,1.002233515921974,0.3181079472624061,0.1538461538461538,13.097180672364958,0.3125
2,test,11,roughness,none,roughness,roughness,1.0,target_only,1,0.6836860236220472,0.6198800224313434,0.0542069766262733,1.0009587476580106,0.5602167643288776,0.1538461538461538,1.9240499804445992,0.578125
2,test,11,roughness,none,roughness,roughness,1.0,value,1,0.6428395669291339,0.6192766605179642,0.0542069766262733,1.028210168270612,0.4405843709943233,0.1538461538461538,8.40434923955836,0.25
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,0.35,dual,1,0.9306102362204725,0.959846491564873,0.0025123658386592,0.2093920149650933,0.97153108405054,0.6923076923076923,0.072026249466121,0.2265625
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,0.35,geometry,1,0.7586122047244095,0.8765870433511355,0.0359160682520651,0.7463872172928855,0.7156827961911737,0.4615384615384615,-2.364998303576587,0.7109375
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,0.35,rank,1,0.8515009842519685,0.9170937921863213,0.0195238191624139,0.4530501518519441,0.890748031496063,0.6153846153846154,0.5573602803594211,0.2265625
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,0.35,target_only,1,0.8085629921259843,0.9467433535374756,0.0195238191624139,0.6782340842480465,0.8097589727156198,0.6923076923076923,-2.8247416927689626,1.0
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,0.35,value,1,0.9771161417322834,0.9755301749088254,0.0005571074764421,0.0679793769437355,0.9954907526094122,0.7692307692307693,-5.120856395943903,0.8828125
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,0.7,dual,1,0.9099409448818898,0.9906280705729972,0.0015166348807614,0.22012184146729,0.9421122505035706,0.9230769230769232,-0.296264961164127,0.4609375
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,0.7,geometry,1,0.7213336614173228,0.8532050582163292,0.1257025342466083,0.9122287174139784,0.6545218366599523,0.2307692307692307,-1.3973977043608403,0.671875
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,0.7,rank,1,0.8452263779527559,0.9680650172195604,0.006830757862168,0.4825963364359961,0.8556010803882073,0.7692307692307693,0.3043904040596694,0.4765625
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,0.7,target_only,1,0.7429872047244095,0.9662742401108232,0.0,0.834120375338031,0.6694687328328145,0.6923076923076923,-1.7407379635946554,0.984375
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,0.7,value,1,0.9653051181102362,0.9995647524624722,0.0,0.0655345845160026,0.9894479033144112,1.0,-4.217324514617033,0.90625
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,1.0,dual,1,0.9110482283464568,0.9980298981966104,0.0049894523771313,0.0869285049856249,0.9220895898187146,1.0,-3.480492967401232,0.8671875
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,1.0,geometry,1,0.8299704724409449,0.8664006786959895,0.1192619749411247,0.6652142017257648,0.8598585423915034,0.2307692307692307,-1.6117975248162133,0.8203125
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,1.0,rank,1,0.8518700787401575,0.994667973503143,0.0049894523771313,0.1905716565138445,0.8301535890862478,0.9230769230769232,-2.6838078465585564,0.859375
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,1.0,target_only,1,0.8196358267716536,0.8617156077618996,0.1620914968873453,1.0525413600407207,0.8539015290239883,0.2307692307692307,-1.3572273353816169,0.90625
2,test,11,scale_0.7,none,scale_0.7,scale_0.7,1.0,value,1,0.9593996062992126,0.9999630507997244,0.0,0.0886846150733416,0.984641091375206,1.0,-3.825169232829565,0.859375
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,0.35,dual,1,0.7737450787401575,0.9274029652842414,0.0035884495283169,1.2251914034555698,0.7325981963010437,0.3846153846153846,-1.1736982916269645,0.71875
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,0.35,geometry,1,0.6612942913385826,0.9207783126024598,0.0907543530018168,0.9155383619403896,0.530757874015748,0.6153846153846154,-1.469640292897778,0.875
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,0.35,rank,1,0.735113188976378,0.9122193522179084,0.0444293032680989,2.3161775061434087,0.658092611243362,0.3076923076923077,-0.1273502986141675,0.6015625
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,0.35,target_only,1,0.6481299212598425,0.8642860370081394,0.1636616538671207,1.07594243950267,0.4675940761765244,0.4615384615384615,-1.3289933032970542,1.0
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,0.35,value,1,0.7958907480314961,0.9655237943842402,0.0035884495283169,0.876828008021212,0.7616336293719098,0.6153846153846154,-1.8394683859902103,0.8359375
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,0.7,dual,1,0.8623277559055118,0.9954036380136746,0.0,1.1219666583114254,0.8976492400659221,0.8461538461538461,4.537289866754342,0.4375
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,0.7,geometry,1,0.9333169291338582,0.9655955963149228,0.0,0.2389625671940547,0.969076176524446,0.6923076923076923,-1.1578572725776926,0.9765625
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,0.7,rank,1,0.8216043307086615,0.9717959437259563,0.0034574379040294,1.5792460504020618,0.8296156839406701,0.6153846153846154,4.316202759560687,0.3828125
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,0.7,target_only,1,0.8838582677165354,0.9495635512334966,0.0798251860997577,0.4835419801696427,0.931153863761216,0.6923076923076923,-0.5801137988707197,1.0
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,0.7,value,1,0.8698326771653543,0.988557059654049,0.0,0.9643826757329952,0.9082528383080022,0.7692307692307693,3.169324118930721,0.5234375
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,1.0,dual,1,0.7826033464566929,0.7776513807044064,0.1570751054972544,0.8008603615796173,0.7542975187694562,0.3846153846153846,3.689121915411546,0.6171875
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,1.0,geometry,1,0.906126968503937,0.8727531368707141,0.0818239661785926,0.2996819714553358,0.9510620765427578,0.3076923076923077,-0.6348301711280985,1.0
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,1.0,rank,1,0.7452017716535433,0.5752368707805948,0.1894477205184477,0.8815453759526884,0.6606791338582677,0.0,1.9938365421015964,0.6953125
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,1.0,target_only,1,0.8858267716535433,0.9612611003631812,0.0,0.5598324549665143,0.9298148232924373,0.6923076923076923,-0.1153278785548231,1.0
2,test,11,scale_1.5,none,scale_1.5,scale_1.5,1.0,value,1,0.8000738188976378,0.8374746682308528,0.1133128431183033,0.76828405485284,0.788231322102179,0.2307692307692307,3.375603832206449,0.5625
2,test,23,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,1,0.9120324803149606,0.9494945686818744,0.0,0.3221407372164071,0.9525899560520052,0.5384615384615384,-2.452077883047501,1.0
